Date,SP500,GDP,Fed rate,Inflation (% change),Unemployment rate,MACD,RSI
1/1/1871,4.44,,,,,,
2/1/1871,4.5,,,,,,
3/1/1871,4.61,,,,,,
4/1/1871,4.74,,,,,,
5/1/1871,4.86,,,,,,
6/1/1871,4.82,,,,,,
7/1/1871,4.73,,,,,,
8/1/1871,4.79,,,,,,
9/1/1871,4.84,,,,,,
10/1/1871,4.59,,,,,,
11/1/1871,4.64,,,,,,
12/1/1871,4.74,,,,,,
1/1/1872,4.86,,,,,,
2/1/1872,4.88,,,,,,
3/1/1872,5.04,,,,,,72.06
4/1/1872,5.18,,,,,,74.85
5/1/1872,5.18,,,,,,74.85
6/1/1872,5.13,,,,,,71.88
7/1/1872,5.1,,,,,,70.08
8/1/1872,5.04,,,,,,66.5
9/1/1872,4.95,,,,,,61.43
10/1/1872,4.97,,,,,,62.12
11/1/1872,4.95,,,,,,60.94
12/1/1872,5.07,,,,,,65.2
1/1/1873,5.11,,,,,,66.51
2/1/1873,5.15,,,,,0.143549923,67.82
3/1/1873,5.11,,,,,0.139720853,65.08
4/1/1873,5.04,,,,,0.129544564,60.49
5/1/1873,5.05,,,,,0.120893117,60.91
6/1/1873,4.98,,,,,0.107153173,56.35
7/1/1873,4.97,,,,,0.09436942,55.71
8/1/1873,4.97,,,,,0.083278224,55.71
9/1/1873,4.59,,,,,0.04332611,37.09
10/1/1873,4.19,,,,,-0.02037798,26.9
11/1/1873,4.04,,,,,-0.082022176,24.21
12/1/1873,4.42,,,,,-0.099070795,40.44
1/1/1874,4.66,,,,,-0.092153664,48.01
2/1/1874,4.8,,,,,-0.074515984,51.86
3/1/1874,4.73,,,,,-0.065432149,49.87
4/1/1874,4.6,,,,,-0.06793989,46.32
5/1/1874,4.48,,,,,-0.078703049,43.26
6/1/1874,4.46,,,,,-0.087834265,42.76
7/1/1874,4.46,,,,,-0.093987391,42.76
8/1/1874,4.47,,,,,-0.096939414,43.14
9/1/1874,4.54,,,,,-0.092563485,45.9
10/1/1874,4.53,,,,,-0.088877916,45.56
11/1/1874,4.57,,,,,-0.081786625,47.24
12/1/1874,4.54,,,,,-0.077691892,46.09
1/1/1875,4.54,,,,,-0.07359839,46.09
2/1/1875,4.53,,,,,-0.070350223,45.66
3/1/1875,4.59,,,,,-0.062217326,48.74
4/1/1875,4.65,,,,,-0.050350044,51.7
5/1/1875,4.47,,,,,-0.0548375,43.58
6/1/1875,4.38,,,,,-0.064907872,40.19
7/1/1875,4.39,,,,,-0.071260353,40.74
8/1/1875,4.41,,,,,-0.073829843,41.9
9/1/1875,4.37,,,,,-0.078192493,40.21
10/1/1875,4.3,,,,,-0.086303487,37.37
11/1/1875,4.37,,,,,-0.086090693,41.79
12/1/1875,4.37,,,,,-0.084942884,41.79
1/1/1876,4.46,,,,,-0.075896106,47.34
2/1/1876,4.52,,,,,-0.063156937,50.72
3/1/1876,4.51,,,,,-0.05325409,50.14
4/1/1876,4.34,,,,,-0.058449818,41.5
5/1/1876,4.18,,,,,-0.074617984,35.33
6/1/1876,4.15,,,,,-0.088828165,34.3
7/1/1876,4.1,,,,,-0.102937815,32.6
8/1/1876,3.93,,,,,-0.126380557,27.58
9/1/1876,3.69,,,,,-0.162452443,22.35
10/1/1876,3.67,,,,,-0.190458023,21.97
11/1/1876,3.6,,,,,-0.215813301,20.67
12/1/1876,3.58,,,,,-0.234814578,20.3
1/1/1877,3.55,,,,,-0.249418832,19.73
2/1/1877,3.34,,,,,-0.274770667,16.27
3/1/1877,3.17,,,,,-0.30506318,14.12
4/1/1877,2.94,,,,,-0.343667706,11.83
5/1/1877,2.94,,,,,-0.369996975,11.83
6/1/1877,2.73,,,,,-0.403160967,10.1
7/1/1877,2.85,,,,,-0.414977076,17.53
8/1/1877,3.05,,,,,-0.403551211,28.17
9/1/1877,3.24,,,,,-0.374843753,36.55
10/1/1877,3.31,,,,,-0.342496386,39.35
11/1/1877,3.26,,,,,-0.317238518,38.06
12/1/1877,3.25,,,,,-0.294632058,37.79
1/1/1878,3.25,,,,,-0.273562813,37.79
2/1/1878,3.18,,,,,-0.259522091,35.75
3/1/1878,3.24,,,,,-0.240777683,38.8
4/1/1878,3.33,,,,,-0.216168502,43.16
5/1/1878,3.34,,,,,-0.193626624,43.64
6/1/1878,3.41,,,,,-0.168174992,47.02
7/1/1878,3.48,,,,,-0.140733685,50.23
8/1/1878,3.45,,,,,-0.120023446,48.87
9/1/1878,3.52,,,,,-0.09684564,52.14
10/1/1878,3.48,,,,,-0.08077362,50.16
11/1/1878,3.47,,,,,-0.068058805,49.66
12/1/1878,3.45,,,,,-0.058916898,48.6
1/1/1879,3.58,,,,,-0.040712648,55.27
2/1/1879,3.71,,,,,-0.015615726,60.75
3/1/1879,3.65,,,,,-0.000561263,57.26
4/1/1879,3.77,,,,,0.020812589,61.97
5/1/1879,3.94,,,,,0.050882558,67.44
